model,query,relevant_docs,latency
E5,Berapa jumlah arca pada baris ketiga Rupadhatu,4,0.0067708492279052734
E5,Berapa panjang Candi Borobudur dalam meter,3,0.0064830780029296875
E5,Berapa luas wilayah NTT,4,0.006349802017211914
E5,Berapa lebar Danau Toba,2,0.00663304328918457
E5,Berapa tinggi Candi Borobudur,2,0.006365060806274414
E5,Berapa lebar Candi Borobudur,3,0.006262063980102539
E5,Berapa penurunan suhu global akibat letusan Toba,4,0.006312131881713867
E5,Berapa jumlah gunung di Sulawesi Utara,4,0.006148099899291992
E5,Berapa panjang Danau Toba,1,0.006245136260986328
E5,Berapa jumlah pulau di Sulawesi Utara,4,0.006281852722167969
E5,Berapa jumlah arca di Arupadhatu,4,0.006350040435791016
E5,Berapa kedalaman maksimal Danau Toba,2,0.00642085075378418
E5,Di sisi mana arca Amitabha berada,4,0.006610870361328125
E5,Kapan NTB dibentuk,1,0.006417036056518555
E5,Berapa luas wilayah Labuan Bajo,4,0.006266117095947266
E5,Berapa populasi NTB tahun 2024,4,0.006317138671875
E5,Apa makna mudra Bhumisparsa,3,0.006200075149536133
E5,Kapan Borobudur dibangun,1,0.006256103515625
E5,Berapa luas Danau Toba,3,0.006322145462036133
E5,Berapa VEI letusan Toba,2,0.006468772888183594
MultiLingual,ibu kota NTB,4,0.03352999687194824
MultiLingual,gunung tertinggi di NTB,4,0.004683017730712891
MultiLingual,agama mayoritas NTB,3,0.004828929901123047
MultiLingual,sejarah pembentukan NTB,1,0.006143093109130859
MultiLingual,jumlah penduduk NTB,3,0.004824638366699219
MultiLingual,Luas wilayah Sulawesi Utara,4,0.00465083122253418
MultiLingual,Berapa jumlah arca di Rupadhatu,4,0.006765842437744141
MultiLingual,Berapa populasi NTT tahun 2025,3,0.01509404182434082
MultiLingual,Berapa jumlah sampah harian di Labuan Bajo,4,0.0043182373046875
MultiLingual,Berapa jumlah arca pada baris ketiga Rupadhatu,4,0.053357839584350586
MultiLingual,Berapa panjang Candi Borobudur dalam meter,3,0.005439043045043945
MultiLingual,Berapa luas wilayah NTT,4,0.003974199295043945
MultiLingual,Berapa lebar Danau Toba,3,0.003921031951904297
MultiLingual,Berapa tinggi Candi Borobudur,3,0.0038537979125976562
MultiLingual,Berapa lebar Candi Borobudur,2,0.0037376880645751953
MultiLingual,Berapa penurunan suhu global akibat letusan Toba,3,0.00373077392578125
MultiLingual,Berapa jumlah gunung di Sulawesi Utara,4,0.006394863128662109
MultiLingual,Berapa panjang Danau Toba,2,0.004043102264404297
MultiLingual,Berapa jumlah pulau di Sulawesi Utara,4,0.004899740219116211
MultiLingual,Berapa jumlah arca di Arupadhatu,4,0.005775928497314453
MultiLingual,Berapa kedalaman maksimal Danau Toba,3,0.004097938537597656
MultiLingual,Di sisi mana arca Amitabha berada,4,0.0037670135498046875
MultiLingual,Kapan NTB dibentuk,1,0.00391387939453125
MultiLingual,Berapa luas wilayah Labuan Bajo,4,0.00357818603515625
MultiLingual,Berapa populasi NTB tahun 2024,4,0.0035750865936279297
MultiLingual,Apa makna mudra Bhumisparsa,2,0.003640890121459961
MultiLingual,Kapan Borobudur dibangun,2,0.003637075424194336
MultiLingual,Berapa luas Danau Toba,4,0.0034880638122558594
MultiLingual,Berapa VEI letusan Toba,2,0.0036132335662841797
BGE-M3,ibu kota NTB,4,0.4283771514892578
BGE-M3,gunung tertinggi di NTB,4,0.3526160717010498
BGE-M3,agama mayoritas NTB,4,0.014850854873657227
BGE-M3,sejarah pembentukan NTB,4,0.011408805847167969
BGE-M3,jumlah penduduk NTB,4,0.03574013710021973
BGE-M3,Luas wilayah Sulawesi Utara,4,0.009152889251708984
BGE-M3,Berapa jumlah arca di Rupadhatu,4,0.01148676872253418
BGE-M3,Berapa populasi NTT tahun 2025,4,0.009510993957519531
BGE-M3,Berapa jumlah sampah harian di Labuan Bajo,4,0.013630867004394531
BGE-M3,Berapa jumlah arca pada baris ketiga Rupadhatu,4,0.019042015075683594
BGE-M3,Berapa panjang Candi Borobudur dalam meter,4,0.030580997467041016
BGE-M3,Berapa luas wilayah NTT,4,0.009914875030517578
BGE-M3,Berapa lebar Danau Toba,3,0.010812997817993164
BGE-M3,Berapa tinggi Candi Borobudur,4,0.009687185287475586
BGE-M3,Berapa lebar Candi Borobudur,3,0.008904218673706055
BGE-M3,Berapa penurunan suhu global akibat letusan Toba,4,0.009064197540283203
BGE-M3,Berapa jumlah gunung di Sulawesi Utara,4,0.010053157806396484
BGE-M3,Berapa panjang Danau Toba,3,0.009178876876831055
BGE-M3,Berapa jumlah pulau di Sulawesi Utara,4,0.009644746780395508
BGE-M3,Berapa jumlah arca di Arupadhatu,4,0.00948190689086914
BGE-M3,Berapa kedalaman maksimal Danau Toba,3,0.010418891906738281
BGE-M3,Di sisi mana arca Amitabha berada,4,0.01024627685546875
BGE-M3,Kapan NTB dibentuk,4,0.008762121200561523
BGE-M3,Berapa luas wilayah Labuan Bajo,4,0.009280920028686523
BGE-M3,Berapa populasi NTB tahun 2024,4,0.009953022003173828
BGE-M3,Apa makna mudra Bhumisparsa,3,0.00976109504699707
BGE-M3,Kapan Borobudur dibangun,3,0.00917506217956543
BGE-M3,Berapa luas Danau Toba,3,0.009586095809936523
BGE-M3,Berapa VEI letusan Toba,3,0.009338855743408203
